execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,perc_mutation,perc_crossover,crossover_type,best_ind,best_fitness,out_bounds
1,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 9.94958637e-01 -4.26883195e-10 -1.23265568e-09  8.36644783e-10
  1.66078804e-09 -9.94958639e-01  7.46809851e-10  6.27197263e-10
 -1.33350915e-09 -8.27953452e-10]",1.98991811418658,251
2,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-1.98114315e-10  5.91266871e-10  1.50758983e-09  9.94958638e-01
 -1.65777389e-09  1.08544837e-09  1.25844458e-09  5.31144083e-10
  1.56386946e-09 -1.27637889e-09]",0.9949590570932898,209
3,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-7.04108096e-11 -9.71510285e-10  3.36567831e-10  1.25801463e-09
  4.49627917e-10  1.41240549e-09  9.94958638e-01  1.34320977e-09
  9.94958639e-01 -9.94958637e-01]",2.9848771712798694,213
4,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-7.29564292e-10 -9.94958636e-01  9.94958636e-01 -1.58359258e-09
  9.94958637e-01 -7.88692203e-10 -8.87583269e-10 -1.19576773e-09
 -8.10804319e-10 -1.25589119e-09]",2.9848771712798694,199
5,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[-1.07514347e-09  1.19620932e-10  1.18596689e-09  4.83104382e-10
 -9.94958637e-01  1.65541124e-11 -1.33760854e-09 -1.41714652e-09
 -3.03656909e-10  1.06368761e-09]",0.9949590570932898,243
6,f8,False,10,10,1133,"[-100, 100]",0.9,0.4,,"[-6.87899231e-10 -2.80071800e-10 -7.96820206e-10  1.40911245e-09
 -1.07428870e-09 -3.29136791e-10  1.02984386e-09  1.52019901e-09
  6.90660554e-10 -8.77481204e-10]",0.0,214
7,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 1.67422495e-09  4.70259804e-10  1.38287941e-09  1.66655923e-09
 -1.42082414e-09 -8.13925523e-10  1.33807287e-09 -9.94958639e-01
  1.55405277e-09 -3.10856881e-10]",0.9949590570932898,242
8,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 4.70372883e-10  7.92638639e-10  1.50561030e-09 -4.14973627e-10
  3.53412743e-10  9.94958637e-01 -1.91124905e-10 -8.40851142e-11
 -1.38078940e-09  4.83431683e-10]",0.9949590570932898,192
9,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 2.28186021e-10 -9.94958639e-01  1.03032638e-09  1.34512173e-09
 -1.39845561e-09 -1.34086398e-11 -4.92435066e-10 -9.51264561e-10
  2.00507873e-10  1.47716424e-09]",0.9949590570932898,161
10,f8,False,10,10,5000,"[-100, 100]",0.9,0.4,,"[ 4.18177686e-10 -5.53112041e-10 -9.36006817e-10 -1.67310965e-09
 -9.23015752e-10 -1.05663705e-09  9.94958638e-01 -2.31424192e-10
 -1.38693316e-09 -9.94958638e-01]",1.9899181141865796,168
