execucao,funcao_objetivo,is_rotated,dimensoes,tamanho_populacao,total_geracoes_realizadas,range_position,omega,reduce_omega_linearly,range_speed,cognitive_factor,social_factor,best_particle,best_fitness,out_bounds
1,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-4.88334280e-45  2.14779510e-45 -3.02708804e-45  3.02113553e-47
 -3.68736592e-46  1.43158151e-46 -1.06450359e-45 -4.55362858e-46
 -4.39082527e-47 -1.28272961e-47]",2.188619154054744e-86,8713
2,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-5.66483373e-47 -1.27854097e-46  1.18003166e-47 -9.64402225e-48
  3.24277991e-48 -1.87724603e-48 -1.93635853e-48 -4.47337513e-49
  4.48075589e-49  1.38610583e-49]",2.131085471983288e-91,8550
3,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-8.63828311e-48 -1.03520731e-46  2.15237502e-47  7.61424805e-48
  3.13409746e-48 -1.37635250e-48 -3.25145465e-49  1.33593021e-48
  1.19553302e-49  1.22762769e-49]",1.7628154589629765e-91,8563
4,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[ 1.09291317e-46 -7.55887857e-47 -1.37528420e-47 -1.62012114e-47
 -6.31367464e-48  1.99287771e-48  1.63991831e-48  6.64501226e-49
 -2.68719805e-49  6.87912481e-50]",1.635251961976429e-91,9297
5,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-4.41804434e-47  2.85067251e-47  2.19954444e-47 -7.63097876e-51
  4.13645349e-48 -2.86242670e-48  1.03932562e-48 -6.58506542e-49
 -2.03858368e-49 -5.09452908e-51]",8.164992209069006e-92,8913
6,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-4.24866605e-45  3.11771922e-46 -1.16368937e-45 -8.85208067e-46
  8.37179081e-47 -9.22756499e-47  6.89575650e-48  1.57060880e-47
  2.39340420e-47  4.69956700e-47]",2.491566877981484e-87,9431
7,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-4.41074860e-47 -2.60494849e-46 -8.33039081e-48  7.48871908e-47
 -1.48964066e-47  5.04522001e-48 -3.23013790e-48 -4.52565189e-48
  1.54570365e-48  1.21308228e-49]",2.6215135922864593e-90,9101
8,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-1.55830413e-45 -2.14379507e-46  4.30234220e-47  6.76783797e-48
 -5.60635396e-47 -2.11640819e-47  8.79876529e-48 -1.03158501e-47
  1.92867088e-48  1.20629331e-48]",1.3080165299341698e-89,10178
9,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-7.54983424e-47  1.24033904e-46  2.27046088e-47 -3.61543523e-47
 -1.20522296e-48  1.32175028e-47  3.05042578e-48 -4.96099790e-49
 -5.49450434e-49  4.64819574e-50]",7.676636716355684e-91,9131
10,f1,False,10,10,4999,"[-100, 100]",0.4001,True,"[-50.0, 50.0]",2.0,2.0,"[-1.86718517e-45  1.18418955e-44 -1.49303483e-46 -3.45890080e-46
 -2.62061133e-46  3.50608542e-47 -1.01049519e-46  3.16892138e-47
 -2.61341496e-47  1.53607579e-47]",1.233168474454117e-87,8469
